/opt/cloudera/parcels/CDH-5.13.1-1.cdh5.13.1.p0.2/lib/impala-shell/ext-py/sasl-0.1.1-py2.7-linux-x86_64.egg/_saslwrapper.py:3: UserWarning: Module backports was already imported from None, but /usr/lib/python2.7/site-packages is being added to sys.path
Starting Impala Shell without Kerberos authentication
Error connecting: TTransportException, TSocket read 0 bytes
Kerberos ticket found in the credentials cache, retrying the connection with a secure transport.
Connected to ip-172-31-30-69.ap-southeast-1.compute.internal:21000
Server version: impalad version 2.10.0-cdh5.13.1 RELEASE (build 1e4b23c4eb52dac95c5be6316f49685c41783c51)
Query: use `tpcds_parquet_2`
Query: with v1 as (
 select i_category, i_brand,
        s_store_name, s_company_name,
        d_year, d_moy,
        sum(ss_sales_price) sum_sales,
        avg(sum(ss_sales_price)) over
          (partition by i_category, i_brand,
                     s_store_name, s_company_name, d_year)
          avg_monthly_sales,
        rank() over
          (partition by i_category, i_brand,
                     s_store_name, s_company_name
           order by d_year, d_moy) rn
 from item, store_sales, date_dim, store
 where ss_item_sk = i_item_sk and
       -- ss_sold_date_sk between 2451514 and 2451941 and
       -- TODO PF issue here 
 	   ss_sold_date_sk = d_date_sk and
       ss_store_sk = s_store_sk and
       (
         d_year = 2000 or
         ( d_year = 2000-1 and d_moy =12) or
         ( d_year = 2000+1 and d_moy =1)
       )
 group by i_category, i_brand,
          s_store_name, s_company_name,
          d_year, d_moy),
 v2 as(
 select v1.i_category, v1.i_brand
        ,v1.d_year
        ,v1.avg_monthly_sales
        ,v1.sum_sales, v1_lag.sum_sales psum, v1_lead.sum_sales nsum
 from v1, v1 v1_lag, v1 v1_lead
 where v1.i_category = v1_lag.i_category and
       v1.i_category = v1_lead.i_category and
       v1.i_brand = v1_lag.i_brand and
       v1.i_brand = v1_lead.i_brand and
       v1.s_store_name = v1_lag.s_store_name and
       v1.s_store_name = v1_lead.s_store_name and
       v1.s_company_name = v1_lag.s_company_name and
       v1.s_company_name = v1_lead.s_company_name and
       v1.rn = v1_lag.rn + 1 and
       v1.rn = v1_lead.rn - 1)
 select  *
 from v2
 where  d_year = 2000 and
        avg_monthly_sales > 0 and
        case when avg_monthly_sales > 0 then abs(sum_sales - avg_monthly_sales) / avg_monthly_sales else null end > 0.1
 order by sum_sales - avg_monthly_sales, d_year
 limit 100
Women	edu packamalg #2	2000	10519.62583333333	4387.360000000001	7454.1	5266.35
Music	edu packscholar #2	2000	9946.275833333335	4340.400000000001	5766.789999999999	5904.61
Music	edu packscholar #2	2000	9884.584999999997	4309.620000000001	6685.820000000002	5197.629999999999
Shoes	exportiedu pack #2	2000	10478.14	4937.08	6434.75	5823.059999999999
Women	edu packamalg #2	2000	10519.62583333333	5001.38	7062.35	14394.86
Women	edu packamalg #2	2000	10147.41916666666	4684.7	6499.389999999999	6140.549999999999
Shoes	exportiedu pack #2	2000	9951.5275	4506.61	6709.220000000001	5843.02
Men	amalgimporto #2	2000	8899.593333333332	3465.47	5864.400000000001	5380.19
Music	edu packscholar #2	2000	10400.53166666666	5017.790000000001	6211.5	6524.240000000002
Women	edu packamalg #2	2000	10519.62583333333	5210.34	7196.569999999998	7454.1
Music	exportischolar #2	2000	9415.028333333334	4130.08	6175.02	5835.639999999999
Women	edu packamalg #2	2000	10519.62583333333	5266.35	4387.360000000001	7062.35
Women	amalgamalg #2	2000	9541.637499999999	4372.11	5151.089999999999	5628.05
Shoes	exportiedu pack #2	2000	9951.5275	4806.96	5843.02	6678.890000000001
Men	importoimporto #2	2000	9887.399166666664	4746.55	5364.09	6001.459999999999
Music	edu packscholar #2	2000	10400.53166666666	5269.289999999999	6731.259999999999	5486.05
Music	importoscholar #2	2000	9971.620000000001	4901.25	6314.67	5749.62
Shoes	importoedu pack #2	2000	9489.750000000002	4497.76	6157.14	11505.58
Children	importoexporti #2	2000	9795.273333333333	4827.360000000001	5443.360000000001	5866.88
Women	importoamalg #2	2000	9972.558333333334	5005.23	5137.5	5960.58
Shoes	exportiedu pack #2	2000	10478.14	5542.140000000001	5841.01	6730.93
Men	exportiimporto #2	2000	9128.372499999999	4197.760000000001	5271.410000000001	5745.360000000001
Children	edu packexporti #2	2000	8974.26	4050.07	5823.34	5880.629999999999
Women	edu packamalg #2	2000	10327.06416666667	5405.889999999999	6799.280000000001	6360.900000000001
Music	edu packscholar #2	2000	10400.53166666666	5486.05	5269.289999999999	6549.969999999999
Women	exportiamalg #2	2000	8594.7225	3701.139999999999	6373.93	5369.21
Shoes	exportiedu pack #2	2000	9646.130833333335	4787.690000000001	5514.8	5720.52
